DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
1/2/2019,891.75,VNINDEX,900.1,899.87,891.1,111518574
1/3/2019,878.22,VNINDEX,889.78,892.16,872.22,156575331
1/4/2019,880.9,VNINDEX,872.69,881.48,861.85,136566941
1/7/2019,889.64,VNINDEX,890.47,896.63,885.3,127549277
1/8/2019,887.44,VNINDEX,891.37,891.87,883.72,112829182
1/9/2019,896.99,VNINDEX,890.26,897.25,888.61,160507514
1/10/2019,898.3,VNINDEX,897.85,899.33,896.03,130589063
1/11/2019,902.71,VNINDEX,899.1,904.37,899.1,131413383
1/14/2019,901.8,VNINDEX,903.83,902.84,897.49,143845246
1/15/2019,909.68,VNINDEX,901.21,909.68,899.2,127190636
1/16/2019,908.7,VNINDEX,911.32,912.01,906.39,164291064
1/17/2019,901.89,VNINDEX,908.48,909.06,901.89,133889431
1/18/2019,902.3,VNINDEX,902.7,906.31,900.64,140748451
1/21/2019,911.05,VNINDEX,905.25,911.74,903.39,165626811
1/22/2019,906.55,VNINDEX,912.73,913.26,906.55,152163629
1/23/2019,908.18,VNINDEX,905.73,909.91,905.34,129143298
1/24/2019,908.79,VNINDEX,908.56,910.05,906.66,110294392
1/25/2019,908.88,VNINDEX,908.86,911.46,907.96,117585191
1/28/2019,912.18,VNINDEX,912.53,913.24,909.19,133321405
1/29/2019,915.93,VNINDEX,913.67,915.93,907.2,121444328
1/30/2019,915.84,VNINDEX,914.08,917.8,913.48,139395507
1/31/2019,910.65,VNINDEX,919.12,920.28,910.38,138049636
2/1/2019,908.67,VNINDEX,911.98,912.81,907.57,140799414
2/12/2019,937.54,VNINDEX,930.37,938.38,927.64,188420444
2/13/2019,945.25,VNINDEX,937.61,945.25,937.34,215274633
2/14/2019,952.34,VNINDEX,946.54,953.57,946.03,181055902
2/15/2019,950.89,VNINDEX,951.9,955.34,948.41,160688831
2/18/2019,961.3,VNINDEX,954.85,961.3,953.43,194653249
2/19/2019,964.35,VNINDEX,962.84,971.89,964.19,231962870
2/20/2019,970.58,VNINDEX,963.29,972.65,963.29,170875213
2/21/2019,987.57,VNINDEX,972.82,987.57,970.31,178583705
2/22/2019,988.91,VNINDEX,983.99,993.16,983.22,215630492
2/25/2019,994.43,VNINDEX,996.06,999.9,992.82,227742907
2/26/2019,987.06,VNINDEX,991.63,996.34,979.46,251652413
2/27/2019,990.27,VNINDEX,989.61,994.46,988.13,258926565
2/28/2019,965.47,VNINDEX,989.84,990.21,965.47,224812348
3/1/2019,979.63,VNINDEX,971.05,980.82,970.54,170041464
3/4/2019,993.99,VNINDEX,983.5,0,0,-207759593
3/5/2019,992.45,VNINDEX,990.08,1000.24,988.16,297444471
3/6/2019,994.49,VNINDEX,993.01,994.49,986.13,250924541
3/7/2019,994.03,VNINDEX,995.65,1004.19,994.03,210694974
3/11/2019,984.6,VNINDEX,982.94,987.11,981.46,178656512
3/12/2019,1001.32,VNINDEX,991.14,1001.32,990.46,208193816
3/13/2019,1005.41,VNINDEX,1003.75,1009.53,1003.78,229381210
3/14/2019,1008.44,VNINDEX,1006.37,1011.39,1002.33,224543056
3/15/2019,1004.12,VNINDEX,1008.44,1008.44,1001.14,250277088
3/18/2019,1011.86,VNINDEX,1007.92,1013.08,1007.92,230552506
3/19/2019,1006.59,VNINDEX,1013.75,1014.13,1004.44,236585464
3/20/2019,1002.3,VNINDEX,1002.86,1003.25,992.55,300086542
3/21/2019,981.78,VNINDEX,1005.12,1006.37,981.78,200032149
3/22/2019,988.71,VNINDEX,984.9,990.07,981.57,206928848
3/25/2019,970.07,VNINDEX,976.53,973.84,965.06,245780643
3/26/2019,969.79,VNINDEX,970.07,978.99,966.9,175420353
3/27/2019,975.91,VNINDEX,976.67,979.32,972.56,159937977
3/28/2019,982.98,VNINDEX,973.44,983.12,972.9,217066587
3/29/2019,980.76,VNINDEX,985.35,988.13,980.76,173909362
4/1/2019,988.53,VNINDEX,980.76,988.53,982.85,188617709
4/2/2019,985.81,VNINDEX,994.87,996.23,985.81,236019331
4/3/2019,984.46,VNINDEX,984.74,985.25,980.3,216942376
4/4/2019,986.91,VNINDEX,987.47,988.96,983.12,165304651
4/5/2019,989.26,VNINDEX,986.91,990.15,986.41,189284916
4/8/2019,997.56,VNINDEX,989.26,997.56,989.33,163686969
4/9/2019,988.48,VNINDEX,999.89,999.89,988.37,165183690
4/10/2019,981.91,VNINDEX,984.79,987.19,976.85,159912943
4/11/2019,985.95,VNINDEX,984.46,985.95,981.06,129478607
4/12/2019,982.9,VNINDEX,984.66,984.69,980.43,153833982
4/16/2019,977.17,VNINDEX,970.87,978.39,963.46,150022285
4/17/2019,972.1,VNINDEX,977.17,980.59,972.1,186723702
4/18/2019,962.3,VNINDEX,969.5,973.73,962.3,160385083
