DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
7/28/2000,100,VNINDEX,100,100,100,420
7/31/2000,101.55,VNINDEX,101.55,101.55,101.55,1030
8/2/2000,103.38,VNINDEX,103.38,103.38,103.38,30
8/4/2000,105.2,VNINDEX,105.2,105.2,105.2,370
8/7/2000,106.92,VNINDEX,106.92,106.92,106.92,1310
8/9/2000,108.64,VNINDEX,108.64,108.64,108.64,1590
8/11/2000,110.36,VNINDEX,110.36,110.36,110.36,1360
8/14/2000,112.08,VNINDEX,112.08,112.08,112.08,1170
8/16/2000,113.8,VNINDEX,113.8,113.8,113.8,2300
8/18/2000,115.52,VNINDEX,115.52,115.52,115.52,1030
8/21/2000,117.24,VNINDEX,117.24,117.24,117.24,3550
8/23/2000,118.96,VNINDEX,118.96,118.96,118.96,11140
8/25/2000,118.84,VNINDEX,118.84,118.84,118.84,9520
8/28/2000,117,VNINDEX,117,117,117,9790
8/30/2000,115.15,VNINDEX,115.15,115.15,115.15,12650
9/1/2000,113.37,VNINDEX,113.37,113.37,113.37,9660
9/6/2000,112.51,VNINDEX,112.51,112.51,112.51,6090
9/8/2000,112.39,VNINDEX,112.39,112.39,112.39,4950
9/11/2000,114.11,VNINDEX,114.11,114.11,114.11,3130
9/13/2000,116.08,VNINDEX,116.08,116.08,116.08,1840
9/15/2000,118.04,VNINDEX,118.04,118.04,118.04,4590
9/18/2000,118.19,VNINDEX,118.19,118.19,118.19,6460
9/20/2000,118.21,VNINDEX,118.21,118.21,118.21,4160
9/22/2000,118.76,VNINDEX,118.76,118.76,118.76,6690
9/25/2000,118.98,VNINDEX,118.98,118.98,118.98,5660
9/27/2000,119.69,VNINDEX,119.69,119.69,119.69,5660
9/29/2000,120.71,VNINDEX,120.71,120.71,120.71,5280
10/2/2000,120.92,VNINDEX,120.92,120.92,120.92,4860
10/4/2000,121.14,VNINDEX,121.14,121.14,121.14,5840
10/6/2000,122.21,VNINDEX,122.21,122.21,122.21,3960
10/9/2000,124.33,VNINDEX,124.33,124.33,124.33,2590
10/11/2000,126.45,VNINDEX,126.45,126.45,126.45,5330
10/13/2000,128.57,VNINDEX,128.57,128.57,128.57,5190
10/16/2000,130.71,VNINDEX,130.71,130.71,130.71,2660
10/18/2000,132.85,VNINDEX,132.85,132.85,132.85,2570
10/20/2000,135.04,VNINDEX,135.04,135.04,135.04,6590
10/23/2000,136.55,VNINDEX,136.55,136.55,136.55,3910
10/25/2000,137.08,VNINDEX,137.08,137.08,137.08,4500
10/27/2000,139.57,VNINDEX,139.57,139.57,139.57,8820
10/30/2000,140.84,VNINDEX,140.84,140.84,140.84,10120
11/1/2000,143.33,VNINDEX,143.33,143.33,143.33,9590
11/3/2000,145.83,VNINDEX,145.83,145.83,145.83,7880
11/6/2000,148.57,VNINDEX,148.57,148.57,148.57,5530
